3, B2-ae3-enry4aceqtyz5ejn6ak7e8/S03q6i, 4, 4, 20, o2bo2$3bo!
3, B2-ai3iy4it5-eikr6an8/S02aci3j4cey5acijn7e8, 3, 3, 20, 2bo2$obo!
3, B2-ai3-jq4-ikw5iknq6-ci/S03kr4cty5aek6i8, 2, 2, 20, o2bo$bo!
3, B2ck3an4erwz5acik6e8/S02ck3jn4t5ci7e, 1, 1, 20, 3bo2$obo!
3, B2-ek3akq4cij5cn6en/S02e3aijr4acektw5ajkn, 10, 10, 21, 2bo2$obo!
3, B2-ek3aekq4iqwz5knqy6en/S02e3-cknq4irw5akn6n, 9, 9, 21, 2bo2$obo!
3, B2aci3ak4n5cny6e/S02en3aijry4aekw5akn8, 8, 8, 21, 2bo2$obo!
3, B2-ek3aek4ci5inq/S02en3aijr4qtw5an6n, 7, 7, 21, 2bo2$obo!
3, B2-ak3a4acr/S04w, 6, 6, 21, 2bo2$obo!
3, B2-ek3ak4ck5c6e/S02n3-enq4irw5ajk, 5, 5, 21, 2bo2$obo!
3, B2cik3-ekny4-jntwz5-ej6ace7e8/S02kn3kn4aiqtw5e6k8, 4, 4, 21, 3bo$bo2$o!
3, B2-ai3aeqry4aqtw5anr6cei78/S02k3e4rt, 3, 3, 21, 3bo$bo2$o!
3, B2en3-ajq4cinqwz5-acjq6ai7e/S012ck3cikq4acejqy5aiknq6acn7e, 2, 2, 21, 2bo2$obo!
3, B2-an3ak4ejt5i6-c7c/S02i3jq4q5a6e, 1, 1, 21, 2bo2$obo!
4, B2ac3ky4ey/S12-ei4ky, 11, 11, 22, 2bo2$b2o$o!
3, B2aci3akq4aqt5cnq6e/S02cei3aijnr4krw5an7c, 10, 10, 22, 2bo2$obo!
3, B2-ek3ak4k5n6en/S02e3-eknq4aertw5aejn6a7c, 9, 9, 22, 2bo2$obo!
3, B2-ek3ak4qtw5iy6e/S02cek3ijnqr4ikqw5akn6ac7c8, 8, 8, 22, 2bo2$obo!
3, B2cek3ikny4jr/S02ik4n5k, 7, 7, 22, o$2bo2$2bo!
3, B2-ae3aiq5i6ak/S04nw, 6, 6, 22, 3bo2$o2bo!
3, B2-ai3k4acy5ai6cen7e8/S02akn3iq4aktz5e6-ek7c8, 5, 5, 22, 2bo2$obo!
3, B2ce3iq4cijyz5cjn6cin7e/S01c2ai3jq4ejq5ejy, 4, 4, 22, o$2bobo!
3, B2en3-kqy4-ainqw5ainq6aek8/S01c2c3ejq4ckz5c6k, 3, 3, 22, obo2$o!
3, B2cek3aiqy4z5anqy6k7/S1e2ck3aein4cwyz5jr6aen, 2, 2, 22, bobo2$o!
3, B2cik3-cy4acikqry5-c6ack7e8/S02e5e8, 1, 1, 22, o2$o$2bo!
3, B2-ek3ak4kq5n6cen7/S02e3ijry4kw5aknqr, 11, 11, 23, 2bo2$obo!
3, B2ain3acnr4iktw5ac6k/S02ai3-eijn4aeity5acq6e7, 10, 10, 23, 2bo2$obo!
3, B2-ek3ak4enqw5ckn6e7c8/S02ei3cijr4krtw5ajkny7c, 9, 9, 23, 2bo2$obo!
3, B2-ek3ak4cj5n6en/S02e3ijnr4aqrtw5ajkn7c, 8, 8, 23, 2bo2$obo!
3, B2aci3ak4aceq5n6ek/S02ek3-eknq4aerw5ajknr6k7c, 7, 7, 23, 2bo2$obo!
3, B2-ai3-cijq4nt5e6a/S03eik5k7c, 6, 6, 23, 3bo2$2bo$o!
3, B2ekn3aceik4ry5ckn/S01c2-ei3ijq4qy5i6e, 5, 5, 23, 2bo2$o$3bo!
3, B2-ai3anq4ew5cjy/S01c2n3jnqy4jr5ik6an8, 4, 4, 23, 2bo2$obo!
3, B2-ai3ery4cejkryz5-jkr6ei78/S02-n3ejkq4aceijrz5acjny6-e7c8, 3, 3, 23, o$3bo2$bo!
3, B2cei3acei4cijnr5aey6e7c8/S02in3ejkn4ijrwz5iy6ckn7e, 2, 2, 23, o$4bo2$4bo!
3, B2-ai3acey4jrtz5cn6ace7e/S03ajkq4acet5ae8, 1, 1, 23, o3$3bo2$5bo!
4, B2-ik3ce4qrw5a7c8/S1c2c3ciknq4aeiyz5cekr6ak7c, 12, 12, 24, 3bo2$3bo$obo!
3, B2aci3ak4eqw5ckn6e/S02e3aeijr4qrtw5aekn, 11, 11, 24, 2bo2$obo!
3, B2ain3ac4aikrz5ciknr6e/S01e2ce3aeiry4ainr5cy6ei7c, 10, 10, 24, 2bo2$obo!
3, B2ain3ackry4cirwy5ir6k8/S02aik3ackry5acjkn8, 9, 9, 24, 2bo2$obo!
3, B2ci3ae4eqrw5i6e7c/S012aen3inqr4aciw5ajq6e, 8, 8, 24, 2bo2$obo!
3, B2-ae3aejqr5k/S02ce3kr4az5an, 7, 7, 24, o2$bobo!
3, B2cen3jnqry4eijny5cr/S03n, 6, 6, 24, o2bo2$bo!
3, B2ck3acejq4aejkqr5-ainy6-n7/S02cn3aq4cijkty5kny6cin, 5, 5, 24, o2$2bo2$2bo!
3, B2ci3acek4ajwz5-akn6ekn/S03k4cikty5ajr6ak, 4, 4, 24, o2$o3bo!
3, B2-ai3eikn4jy5ekry8/S01c4n5jq6e, 3, 3, 24, 3bobo3$o!
3, B2cik3-nry4aenqtyz5eijny6ak8/S04w, 2, 2, 24, 2bo2$2bo3$o!
3, B2cn3ajry4cejn5cery6cei7c/S02c3cqy4kn5ek7e, 1, 1, 24, o2$o2bo!
3, B2-ek3ak4qtwy5in6-i/S02ei3aijr4w5aknqy6in, 12, 12, 25, 2bo2$obo!
3, B2ain3ack4aenr5kny6-a8/S02ci3-nqy4ceijqrw6en7e8, 11, 11, 25, 2bo2$obo!
3, B2-ek3ak4jnq5in6-i8/S02e3-anqy4kqw5an6akn7, 10, 10, 25, 2bo2$obo!
3, B2-ek3ak4cw5cnq6e/S02cen3acijr4eqtw5aen, 9, 9, 25, 2bo2$obo!
3, B2-ek3ak4in5cnqy6e7c/S02ce3-nq4aceirtw5an6n7c, 8, 8, 25, 2bo2$obo!
3, B2aci3aekq4aetw5cn6e/S02cei3aijr4ckqw5an7c, 7, 7, 25, 2bo2$obo!
3, B2cik3aik4eijtz5acnqy6n8/S02-a3j4cenrwyz5akn6acn7c, 6, 6, 25, 2bo2$obo!
3, B2-a3ak4eij5acq/S01c2i3-airy4citw5cin6ak7c, 5, 5, 25, obo2$o!
3, B2cen3aekn4acejr5q7c/S01e3ckqy4ae5acq7c8, 4, 4, 25, 2bo2$obo!
3, B2-ak3ak4c5n8/S02a5k, 3, 3, 25, 2bo2$obo!
3, B2cek3ijkny4ejkn5a6k/S03in4j5k, 2, 2, 25, 2bo2$obo!
3, B2-ac3-jkqy4kqrw5q6-ik/S02ce3en4ciknwy5acikq6-ce7c, 1, 1, 25, o2$2bo$3bo!
4, B2ac3cy4ey/S12ack3c4ky, 13, 13, 26, 2bo2$b2o$o!
3, B2-ek3akq4aq5ckn/S02ei3ijnr4wy5aen, 12, 12, 26, 2bo2$obo!
3, B2ain3acky4irw5jn6k7c8/S02ae3cjqr4qy5ackry6k, 11, 11, 26, 2bo2$obo!
3, B2-ek3ay4ceijkqr5acn6e8/S02cen3air4qw5cjk6e, 10, 10, 26, 2bo2$obo!
3, B2aci3akq4ctwy5knq6ek/S02ce3eijr4kw5an, 9, 9, 26, 2bo2$obo!
3, B2-an3aciny4irty5n/S03e4ert5nr, 8, 8, 26, o$2bo2$2bo!
3, B2-a3-ijky4ekr5ai7c/S03kr4jqrwy5jy6k, 7, 7, 26, o$2bo2$2bo!
3, B2cek3ikqr4ry5j6a/S02k3eijn4an6n, 6, 6, 26, o2bo2$3bo!
3, B2cek3a4nqrtz5eikn8/S04aw5ijr7c, 5, 5, 26, 3bo2$o2bo!
3, B2ce3-aci4aekrwy5y/S02n3ikn4e, 4, 4, 26, o2bo$bo!
3, B2-ak3cej4kry5cijnr6i7/S01e2-ak3-aci4-cetw5-ajy6i, 3, 3, 26, 2bo$obo!
3, B2ci3aeiny4acintwy5cijkn6i7/S02n34aceyz5cikr6aei8, 2, 2, 26, 3bobo2$o!
3, B2cen4ckntz5acjnq6c/S04i6k8, 1, 1, 26, obo$5bo!
3, B2ai3ackn4iry5kqr6k/S02aek3acjr4atwy5ckry6ae8, 13, 13, 27, 2bo2$obo!
3, B2ain3ack4ir5knq6ekn8/S02aei3-eikq4actwy5kqy6cek8, 12, 12, 27, 2bo2$obo!
3, B2ai3ackny4-acj5ij6kn7c8/S02aen3cjnr4y5-ejnr6ei, 11, 11, 27, 2bo2$obo!
3, B2-ek3ak4ceiw5-aejy6ae8/S02e3ijry4iqwy5aknqy6akn7e8, 10, 10, 27, 2bo2$obo!
